epoch,lr,train_loss,train_cls_loss,train_attn_loss,train_cf_loss,train_acc,val_loss,val_acc,val_macro_f1,val_balanced_acc,seconds
1,7.5e-05,1.0057052112807912,0.6987287022748105,0.8711354278500086,0.02598891489479701,0.609504132231405,0.484649144542905,0.7884615384615384,0.7862126245847176,0.7855840927920463,692.6848454475403
2,0.00015,0.8452173771731781,0.5621385650693878,0.7988326023268634,0.04359256032566968,0.7506887052341598,0.5566531025732939,0.7051282051282052,0.7027340513670257,0.7189726594863297,73.71844577789307
3,0.000225,0.8395349231879573,0.5483505819249416,0.8239148730417257,0.03517675856910851,0.7754820936639119,0.5652932220926652,0.7660256410256411,0.7639866118151768,0.7806545153272577,73.11233043670654
4,0.0003,0.8031145764345472,0.5097348590076134,0.8256862766158154,0.054869047228821625,0.796831955922865,0.4212596412174977,0.8621794871794872,0.8621100775990544,0.8671499585749793,72.36196160316467
5,0.0003,0.8419616970826279,0.5501921286924483,0.8214071376592988,0.05346344792176315,0.7961432506887053,0.3848595289179148,0.8717948717948718,0.869428750784683,0.8666942833471417,77.38896083831787
6,0.00029956001688750185,0.7270105064797828,0.4432416629179614,0.7961919527736906,0.06377077247843546,0.8347107438016529,0.4709756906884603,0.8333333333333334,0.8277853260869565,0.8238608119304061,76.06093072891235
7,0.00029824264954586327,0.7285870260074119,0.4376035671342503,0.8184084665676779,0.05675626157548217,0.84366391184573,0.39981420405018026,0.8910256410256411,0.8909539473684212,0.895940347970174,72.84356904029846
8,0.00029605562881047297,0.6812131765398605,0.3859773775557513,0.8290053139704975,0.0635493047318624,0.8670798898071626,0.3155505240250092,0.9038461538461539,0.9035926170072512,0.9065451532725766,74.86993408203125
9,0.00029301178898863677,0.6679225726355863,0.377909733644448,0.8103037619393719,0.08008159441359022,0.8732782369146006,0.28948669360043144,0.9102564102564102,0.9098079702663638,0.9112676056338028,77.46812343597412
10,0.00028912899254275907,0.628833224868643,0.3453461671807385,0.7970750120060504,0.05638510371255624,0.8911845730027548,0.3766929119920883,0.8717948717948718,0.8675271739130435,0.8626346313173157,76.5349018573761
11,0.00028443002526631027,0.6234717781119274,0.33471655682468215,0.8110369247674285,0.061153764561326665,0.8925619834710744,0.29957422986626625,0.9102564102564102,0.9091778600241194,0.907787903893952,73.46111416816711
12,0.00027894246256773077,0.5890562728498921,0.30000803809479576,0.8105576852793207,0.06691311493601917,0.9056473829201102,0.3052808004312026,0.9166666666666666,0.9164469347396177,0.9194697597348798,73.77841997146606
13,0.0002726985076469693,0.5920089614210706,0.3106723124310169,0.7895352292816172,0.062491534595934484,0.912534435261708,0.27772064287310994,0.9262820512820513,0.9260625418577095,0.9288732394366197,77.11708927154541
14,0.00026573480251430035,0.5508166650520541,0.2567420920700902,0.8257852851851912,0.06312164254441663,0.9269972451790633,0.2681191890285565,0.9391025641025641,0.9388758854644629,0.9412178956089479,76.96192145347595
15,0.000258092212960438,0.539249110505108,0.25197568888835015,0.8081375176584753,0.055316175795327,0.9318181818181818,0.31964251155463547,0.9230769230769231,0.92299781991691,0.9276719138359569,76.25589227676392
16,0.0002498155887398265,0.5355493368237143,0.2451578644681568,0.81894280981098,0.04701865719151542,0.9373278236914601,0.2834931982155794,0.9262820512820513,0.9261112655608068,0.929453189726595,73.70177340507507
17,0.00024095350037444736,0.5305058107128977,0.2496438094673899,0.7919381686971207,0.04604559231417372,0.9366391184573003,0.2894678854693969,0.9294871794871795,0.9291962370028057,0.9312344656172328,74.31275987625122
